local_month_period,mean,median,p95_abs
2024-01,-26.11,0.0,276.83
2024-02,29.16,0.0,237.76
2024-03,1.38,0.0,116.46
2024-04,-9.79,0.0,198.3
2024-05,2.94,0.0,155.83
2024-06,-22.66,0.0,139.99
2024-07,-6.05,0.0,107.35
2024-08,2.53,0.0,238.41
2024-09,9.71,0.0,108.31
2024-10,2.93,0.0,63.33
2024-11,4.64,0.0,92.13
2024-12,-6.64,0.0,206.87
2025-01,-16.1,0.0,326.51
2025-02,-37.95,-0.07,206.24
2025-03,11.18,0.0,208.87
2025-04,-4.82,0.0,106.05
2025-05,8.59,0.0,304.94
2025-06,17.43,0.0,305.94
2025-07,21.21,0.0,398.29
2025-08,-13.75,0.0,90.46
2025-09,-81.29,-1.53,501.82
2025-10,-29.39,-0.02,153.46
2025-11,-6.14,0.0,208.18
2025-12,2.66,0.0,221.08
2026-01,-32.15,0.0,219.96
2026-02,-129.44,-33.27,571.93
2026-03,3.69,0.04,163.13
2026-04,28.44,0.07,297.76
2026-05,2.95,0.0,176.63
2026-06,8.6,2.74,164.6
2026-07,3.95,5.2,20.24
